AMERICAN ECONOMIC JOURNAL–ECONOMIC POLICY,"DCAS
Data Legality Policy",Lars Vilhuber,Yes,Yes,Yes,Open-ICPSR (AEA),,American Economic Association,"All submissions must comply with our Data and Code Availability Policy. Papers that use data that cannot be published can be exempted from the requirement to provide some or all data (if notifying the journal upon submission and in your cover letter), but must otherwise comply with the policy.","https://www.aeaweb.org/journals/data
https://www.aeaweb.org/journals/data/data-code-policy
",
JOURNAL OF LABOR ECONOMICS, AER data availability policy,No,No,Yes,Yes,Own website (JOLE),,University of Chicago Press,"It is the policy of the Journal of Labor Economics to publish papers only if the data used in the analysis are clearly and precisely documented and are readily available to any researcher for purposes of replication. Authors of accepted papers that contain empirical work, simulations, or experimental work must provide to the Journal, prior to publication, the data, programs, and other details of the computations sufficient to permit replication. These will be posted on the JOLE Web site. The Editor should be notified at the time of submission if the data used in a paper are proprietary or if, for some other reason, the requirements above cannot be met.",https://www.journals.uchicago.edu/journals/jole/data-policy,
THEORETICAL ECONOMICS,DCAS,Joan Llull,Yes,Yes,Yes,Zenodo- ES-replication-repository,,Wiley Online Library,"The Econometric Society (ES) and its journals, Econometrica, Quantitative Economics, and Theoretical Economics, have the policy to publish papers that include empirical, experimental, and/or simulation results only if the data and code used in the analysis are clearly and precisely documented and access to the data and code is non-exclusive to the authors.

Authors of these papers must provide, prior to acceptance, raw data, codes, and sufficient documentation to permit the replication of all the results in the paper and in the appendices approved for publication online. They must also provide sufficient information to replicate the process of obtaining this raw data from the original sources and cite all the sources of data appropriately.

The journals of the ES will conduct reproducibility checks for the empirical, experimental, and/or simulation results included in the paper and in the approved online appendices prior to final acceptance.

Requests for an exemption from providing the materials described in this policy, or for restricting their usage, should be stated clearly when the paper is first submitted for review. It will be at the editors' discretion whether the paper can then be reviewed. Exceptions will not be considered later in the review and publication process.

By submitting to any journal of the Econometric Society, authors indicate their acceptance of this Data and Code Availability Policy.",https://www.econometricsociety.org/publications/es-data-editor-website/data-and-code-availability-policy,
REVIEW OF ECONOMICS AND STATISTICS,Own- (MIT DAS),No,Encouraged,Yes,Yes,Harvard Dataverse (RESTAT),,MIT Press Direct,"The Review of Economics and Statistics is implementing a strict data and computer code availability policy for empirical papers. Authors of papers accepted for publication will be required to

    post their code and programs;
    post and document their data (or document their data and include instructions for how other researchers can obtain the data when the data have been obtained under an arrangement that precludes the posting of the data);
    post detailed readme files on-line before publication.

The goal is to provide enough information to permit replication. In addition to meeting all of the standard scientific review procedures, all published papers will be required to comply with this policy.
It also follows MIT press DAS (data availability statement)","https://direct.mit.edu/rest/pages/submission-guidelines
https://direct.mit.edu/journals/pages/authors#data",
JOURNAL OF MONETARY ECONOMICS,No,No,Encouraged,Encouraged,,Elsevier supported repositories,,Elsevier,"This journal requires and enables you to share data that supports your research publication where appropriate, and enables you to interlink the data with your published articles. Research data refers to the results of observations or experimentation that validate research findings, which may also include software, code, models, algorithms, protocols, methods and other useful materials related to the project.",https://www.elsevier.com/journals/journal-of-monetary-economics/0304-3932/guide-for-authors                   https://jme.rochester.edu/jme-style.html,
AMERICAN ECONOMIC JOURNAL–MICROECONOMICS,"DCAS
Data Legality Policy",Lars Vilhuber,Yes,Yes,Yes,Open-ICPSR (AEA),,American Economic Association,"All submissions must comply with our Data and Code Availability Policy. Papers that use data that cannot be published can be exempted from the requirement to provide some or all data (if notifying the journal upon submission and in your cover letter), but must otherwise comply with the policy.","https://www.aeaweb.org/journals/data
https://www.aeaweb.org/journals/data/data-code-policy
",
JOURNAL OF HUMAN RESOURCES,Own- JHR Replication and Data Availability Policy,No,Yes,Yes,Yes,"Own website (uwpres) or Harvard Dataverse, ICPSR or similar",,University of Wisconsin Press,"Replication and Data Availability: We expect authors to adhere to our replication policy and make available the data and programs to other researchers. If there are special circumstances that make this data availability impossible, you must request an exemption from our replication policy at the time of initial submission, and state the reasons for your request.",https://jhr.msubmit.com/cgi-bin/main.plex?form_type=display_ejp_tips#Data,
QUANTITATIVE ECONOMICS,DCAS,Joan Llull,Yes,Yes,Yes,Zenodo- ES-replication-repository,,Wiley Online Library,"The Econometric Society (ES) and its journals, Econometrica, Quantitative Economics, and Theoretical Economics, have the policy to publish papers that include empirical, experimental, and/or simulation results only if the data and code used in the analysis are clearly and precisely documented and access to the data and code is non-exclusive to the authors.

Authors of these papers must provide, prior to acceptance, raw data, codes, and sufficient documentation to permit the replication of all the results in the paper and in the appendices approved for publication online. They must also provide sufficient information to replicate the process of obtaining this raw data from the original sources and cite all the sources of data appropriately.

The journals of the ES will conduct reproducibility checks for the empirical, experimental, and/or simulation results included in the paper and in the approved online appendices prior to final acceptance.

Requests for an exemption from providing the materials described in this policy, or for restricting their usage, should be stated clearly when the paper is first submitted for review. It will be at the editors' discretion whether the paper can then be reviewed. Exceptions will not be considered later in the review and publication process.

By submitting to any journal of the Econometric Society, authors indicate their acceptance of this Data and Code Availability Policy.",https://www.econometricsociety.org/publications/es-data-editor-website/data-and-code-availability-policy,
JOURNAL OF ECONOMIC GROWTH,Type 3 research data policy (social sciences) (Springer),No,Yes,Encouraged,Encouraged,Not required/ Springer supported list,,Springer,,https://www.springer.com/journal/10887/submission-guidelines#Instructions%20for%20Authors_Research%20Data%20Policy%20and%20Data%20Availability%20Statements,
ECONOMIC JOURNAL,DCAS,Florian Oswald,Yes,Yes,Yes,Zenodo- EJ-replication-repository,,Oxford University Press,"It is an integral and essential part of scientific investigation that results are easily replicated. We will only publish papers if they are accompanied by a complete replication package.  Such a package consists of:  a readme file describing the contents of the package and the version of the software it was written for and the respective versions of extra packages the data used in the analysis, including a complete, transparent and precise documentation describing all variables. If the data is provided in a proprietary format, such as in STATA format, then an ASCII file should also be provided all code necessary to re-produce the tables and figures in the paper as well as supplements and appendices, including the code used to run simulation/Monte Carlo studies (the authors are requested to set a seed so that the exact numbers that are reported can be obtained); if the code uses additional packages that are not part of the standard distribution, then these packages should be included so that the code still runs after many years. ","https://res.org.uk/replication-policy/
https://ejdataeditor.github.io/",
RAND JOURNAL OF ECONOMICS,No,No,No,No,No,,,Wiley Online Library,,"https://www.rje.org/submissions.html
https://onlinelibrary.wiley.com/page/journal/17562171/homepage/forauthors.html",
REVIEW OF ECONOMIC DYNAMICS,Own- Availability of Data and Computer Code for Published Papers,Christian Zimmermann?,Encouraged,Yes,Yes,Own website (RED),,Elsevier,"Authors of accepted papers are required, before final acceptance, to provide to RED the data and computer code used in generating the results of the paper. It should be sufficient to enable other researchers to replicate the results of the paper.

For papers that use empirical data, authors have to provide the final data sets used to obtain the empirical results of the paper, as well as the computer code(s) used to manipulate the data. A readme.txt file should be included describing how the program(s) can be run. If the final data set was created from other sources, a description of how the final data set was created from the previous sources is also required. This description should be sufficiently detailed to allow other researchers to replicate the construction of the final data set. If possible, the original data should also be provided.
Zimmermann is not titled as “Data Editor’’ on the website, but descriptions on the hyper-referenced webpage of RED implies he is playing such a role (on the limited basis required by RED’s data policy)",https://www.economicdynamics.org/availability-of-data-and-computer-code-for-published-papers/,
JOURNAL OF BUSINESS & ECONOMIC STATISTICS,Own- (ASA?),No,No,Encouraged,Encouraged,,,Taylor & Francis,"The ASA (American Statistical Association) strongly encourages authors to submit datasets, code, other programs, and/or extended appendices that are directly relevant to their submitted articles. These materials are valuable to users of the ASA's journals and further the profession's commitment to reproducible research. Whenever a dataset is used, its source should be fully documented and the data should be made available as on online supplement.",https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=ubes20,
JOURNAL OF INTERNATIONAL ECONOMICS,Own-Elsevier,No,Encouraged,Yes,Yes,Mendeley,,Elsevier,"The JIE requires that authors provide a replication folder prior to final acceptance. This replication folder should include:
a readme.pdf file with detailed instructions relevant for replication
all relevant code and data required to replicate all empirical and quantitative results as well as computer simulations included in the paper and its appendices.",https://www.elsevier.com/journals/journal-of-international-economics/0022-1996/guide-for-authors,
INTERNATIONAL ECONOMIC REVIEW,AER data availability policy,No,Yes,Yes,Yes,Public repositories*,,Wiley Online Library,"Data Availability Policy
It is the policy of the IER to publish papers only if the data used in the analysis are clearly and precisely documented and are readily available to any researcher for purposes of replication. Authors of accepted papers that contain empirical work, simulations, or experimental work must provide to the Review, prior to publication, the data, programs, and other details of the computations sufficient to permit replication. Starting January 1, 2022, at the time of first submission, authors have to acknowledge the following statement (by clicking an appropriate box on the submission website):",https://economics.sas.upenn.edu/ier/submissions/data-availability-policy,
JOURNAL OF ECONOMIC THEORY,Elsevier,No,Encouraged,Yes?,,Elsevier supported repositories,,Elsevier,"This journal requires and enables you to share data that supports your research publication where appropriate, and enables you to interlink the data with your published articles. Research data refers to the results of observations or experimentation that validate research findings, which may also include software, code, models, algorithms, protocols, methods and other useful materials related to the project.",https://www.elsevier.com/journals/journal-of-economic-theory/0022-0531/guide-for-authors,
JOURNAL OF PUBLIC ECONOMICS,Elsevier,No,Encouraged,Yes?,,Elsevier supported repositories,,Elsevier,"This journal requires and enables you to share data that supports your research publication where appropriate, and enables you to interlink the data with your published articles. Research data refers to the results of observations or experimentation that validate research findings, which may also include software, code, models, algorithms, protocols, methods and other useful materials related to the project.",https://www.elsevier.com/journals/journal-of-public-economics/0047-2727/guide-for-authors,
JOURNAL OF ECONOMETRICS,Elsevier,No,Encouraged,Encouraged,Encouraged,Mendeley and other Elsevier supported repositories,,Elsevier,"This journal encourages and enables you to share data that supports your research publication where appropriate, and enables you to interlink the data with your published articles. Research data refers to the results of observations or experimentation that validate research findings. To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods and other useful materials related to the project.",https://www.elsevier.com/journals/journal-of-econometrics/0304-4076/guide-for-authors,
EXPERIMENTAL ECONOMICS,No,No,No,No,No,,,Springer,,https://www.springer.com/journal/10683/submission-guidelines,
ECONOMETRIC THEORY,No,No,Encouraged,Encouraged,Encouraged,Public repositories*,,Cambridge,,https://www.cambridge.org/core/journals/econometric-theory/information/journal-policies/research-transparency,
JOURNAL OF DEVELOPMENT ECONOMICS,Own- JDE Mandatory Replication Policy,No,,Yes,Yes,"Own website (JDE), and Mendeley Data Repository",,Elsevier,"Authors are invited to submit these intermediate data files and programs as an option; if they are not provided, authors must fully cooperate with investigators seeking to conduct a replication who request them. Authors must provide a Readme PDF file listing all included. Once the final manuscript has been accepted, the authors will be contacted by the editorial office to request the files. The replication files need to be sent to the editorial office within 5 days of being requested. files and documenting the purpose and format of each file provided, as well as instructing a user on how replication can be conducted","https://www.elsevier.com/journals/journal-of-development-economics/0304-3878/guide-for-authors
https://www.elsevier.com/__data/promis_misc/devec%20130805_ReplicationPolicy.docx",
JOURNAL OF APPLIED ECONOMETRICS,Own- JAE,No*,Yes,Yes,Yes,ZBW JournalData- JAE,,Wiley Online Library,"They have a replication section which was introduced under editorship of Baltagi in 2003. It was initially devoted to replication of only own articles, but later extended to a couple of other top journals. They cover replication both in the narrow and wide sense. The current editor of the replication section is Heather Anderson.
The original JAE Data Archive was a pioneering work for the journal, built in the 1990s by Professor James MacKinnon of Queen's University, Canada. Volume 10, No. 1 (1995) of JAE was the first issue in which all papers were accepted subject to the proviso that data be provided. Prof. MacKinnon was the Data Archive Maintainer from 1994 to 2022. In 2022, the JAE Data Archive moved to its new home at ZBW's site (an re3data registered operation).",https://onlinelibrary.wiley.com/page/journal/10991255/homepage/other_resources.htm,
IMF ECONOMIC REVIEW,Own-,No,No,Yes,Yes,Own website,,Palgrave Macmillan,"It is the policy of the IMF Economic Review to publish papers only if the data used in the analysis are clearly and precisely documented and are readily available to any researcher for purposes of replication. Authors of accepted papers that contain empirical work, simulations, or experimental work must provide to the IMF Economic Review, prior to publication, the data, programs, and other details of the computations sufficient to permit replication.

These will be posted on the IMF Economic Review website.",https://www.palgrave.com/gp/journal/41308/authors/presentation-formatting,
"JOURNAL OF THE ASSOCIATION OF
ENVIRONMENTAL AND RESOURCE ECONOMISTS",Own- Data Availability Policy,No,No,Yes,Yes,Harvard Dataverse (JAERE),,University of Chicago Press,"Data availability policy took effect on July 1, 2017",https://www.journals.uchicago.edu/journals/jaere/instruct,
GAMES AND ECONOMIC BEHAVIOR,Own- (Elsevier),No,Encouraged,Yes?,,Elsevier supported repositories,,Elsevier,,https://www.elsevier.com/journals/games-and-economic-behavior/0899-8256/guide-for-authors,
EUROPEAN ECONOMIC REVIEW,Yes,No,Encouraged,Yes,Yes,Mendeley,,Elsevier,"For econometric and simulation papers, the minimum requirement should include the data set(s) and programs used to run the final models, plus a description of how previous intermediate data sets and programs were employed to create the final data set(s). Authors are invited to submit these intermediate data files and programs as an option; if they are not provided, authors must fully cooperate with investigators seeking to conduct a replication who request them. The data files and programs can be provided in any format using any statistical package or software. Authors must provide a Readme PDF file listing all included files and documenting the purpose and format of each file provided, as well as instructing a user on how replication can be conducted.",https://www.journals.elsevier.com/european-economic-review/policies/mandatory-replication-policy,discrepancy between own policy and that publicised on Elsevier website
ECONOMETRICS JOURNAL,DCAS,Florian Oswald,Yes,Yes,Yes,Zenodo- ECTJ-replication-repository,,Oxford University Press,"It is an integral and essential part of scientific investigation that results are easily replicated. We will only publish papers if they are accompanied by a complete replication package.  Such a package consists of:  a readme file describing the contents of the package and the version of the software it was written for and the respective versions of extra packages the data used in the analysis, including a complete, transparent and precise documentation describing all variables. If the data is provided in a proprietary format, such as in STATA format, then an ASCII file should also be provided all code necessary to re-produce the tables and figures in the paper as well as supplements and appendices, including the code used to run simulation/Monte Carlo studies (the authors are requested to set a seed so that the exact numbers that are reported can be obtained); if the code uses additional packages that are not part of the standard distribution, then these packages should be included so that the code still runs after many years. ","https://res.org.uk/replication-policy/
https://ectjdataeditor.github.io/",
ECONOMIC THEORY,type 3 research data policy (social sciences),No,Yes,Encouraged,Encouraged,Not required/ Springer supported list,,Springer,"This journal operates a type 3 research data policy (social sciences). Authors publishing in this journal must provide a data availability statement as part of their articles. Authors are encouraged to share their data or other materials underpinning their study, but are not required to do so.",https://www.springer.com/journal/199/submission-guidelines#Instructions%20for%20Authors_Research%20Data%20Policy%20and%20Data%20Availability%20Statements,
JOURNAL OF MONEY CREDIT AND BANKING,NA,NA,,,,NA,,Wiley Online Library,Notes from Vilhuber (2020),https://economics.osu.edu/about-us/journal-money-credit-banking,
JOURNAL OF INDUSTRIAL ECONOMICS,Own-,No,Yes,Encouraged,Encouraged,Wiley supported repositories,,Wiley Online Library,"Journal of Industrial Economics encourages authors to share the data and other artefacts supporting the results in the paper by archiving it in an appropriate public repository. Authors should include a data accessibility statement, including a link to the repository they have used, in order that this statement can be published alongside their paper.","https://onlinelibrary.wiley.com/page/journal/14676451/homepage/forauthors.html
https://web.archive.org/web/20221212131724/www.jindec.org/?q=page/instructions-authors",
JOURNAL OF URBAN ECONOMICS,Own- Mandatory Replication Policy,No,Encouraged,Yes,Yes,"Mendeley, ICSPR*, or alternatives (but not authors’ own websites)",,Elsevier,"Unless authors are granted an exemption, the Journal of Urban Economics will publish papers only if the data and code used in the analysis are clearly and precisely documented and are readily available to any researcher for purposes of replication. At the time a paper is accepted, but before publication, authors of papers that contain empirical work, simulations, or experimental work must upload a replication folder to a major data repository. That folder should include data, code, and other details of the computations sufficient to permit replication.
For empirical and simulation papers, the minimum requirement for data/code posting includes (i) the data set(s) used to generate all estimates reported in the paper; (ii) a description of how previous intermediate data sets and programs were employed to create the final data set(s); and (iii) the complete set of code from raw data to final results except where such code would reveal confidential information about the data. Authors are also encouraged to post intermediate data files. If those files are not posted, authors must fully cooperate with subsequent inquiries from individuals seeking to conduct a replication except where a prior data exemption has been granted.",https://www.sciencedirect.com/journal/journal-of-urban-economics/about/policies-and-guidelines,
JOURNAL OF LAW & ECONOMICS,AER data availability policy,No,No,Yes,Yes,Chicago press website,,University of Chicago Press,"It is the policy of the JLE to publish papers only if the data used in the analysis are clearly and precisely documented and are readily available to any researcher for purposes of replication. Authors of accepted papers that contain empirical work, simulations, or experimental work must provide to the JLE, prior to publication, the data, programs, and other details of the computations sufficient to permit replication. These will be posted on the JLE Web site.",https://www.journals.uchicago.edu/journals/jle/data-policy,
JOURNAL OF RISK AND UNCERTAINTY,Type 3 research data policy (social sciences) (Springer),No,Yes,Encouraged,Encouraged,Not required/ Springer supported list,,Springer,"This journal operates a type 3 research data policy (social sciences). Authors publishing in this journal must provide a data availability statement as part of their articles. Authors are encouraged to share their data or other materials underpinning their study, but are not required to do so.",https://www.springer.com/journal/11166/submission-guidelines#Instructions%20for%20Authors_Research%20Data%20Policy%20and%20Data%20Availability%20Statements,
JOURNAL OF HEALTH ECONOMICS,No,No,Encouraged,Encouraged,,Elsevier supported repositories,,Elsevier,,https://www.elsevier.com/journals/journal-of-health-economics/0167-6296/guide-for-authors,
ECONOMIC DEVELOPMENT AND CULTURAL CHANGE,No,No,,Encouraged,Encouraged,Dataverse* (suggested),,University of Chicago Press,"Economic Development and Cultural Change encourages authors of empirical papers to provide data and analysis sufficient for replication.  Upon acceptance, authors should post the following on EDCC’s Dataverse:      Code and programs that can be used for replication,     Dataset(s) used to run the final models, and     “Readme” files detailing how data and programs are combined to generate the final analysis. Such files should include a description of how intermediate data files were used to create the final dataset. ",https://www.journals.uchicago.edu/journals/edcc/data-availability-policy,
SCANDINAVIAN JOURNAL OF ECONOMICS,Royal Economic Society’s policy,No,Yes,Yes,Yes,,,Wiley Online Library,,https://static1.squarespace.com/static/54e9da8fe4b0e3df8c129b59/t/5a8c49a8ec212d81f3c8f375/1519143336967/SJE_data_policy_2018.pdf,
ECONOMICA,No,No,No,No,No,No,,"Wiley Online Library, on behalf of The London School of Economics and Political Science and The Suntory and Toyota International Centres for Economics and Related Disciplines",,https://onlinelibrary.wiley.com/page/journal/14680335/homepage/forauthors.html,
JOURNAL OF FINANCIAL ECONOMETRICS,Own-,No,Yes,Yes,,"Public repositories*, OUP suggestions",,Oxford University Press,"For empirical, experimental, and numerical papers, authors will be required to upload source files and relevant data files for editorial replicability review as a condition of acceptance. Journal of Financial Econometrics withholds the right to reject papers if underlying data are not provided for editorial review without compelling justification. Authors should request an exemption from replicability review in the cover letter at the point of submission if unable to comply wholly or partially. For the avoidance of doubt, this policy will apply to all original submissions from 13 March 2023 onwards.",https://academic.oup.com/jfec/pages/General_Instructions,
JOURNAL OF POLICY ANALYSIS AND MANAGEMENT,No,No,Encouraged,No,No,,,Wiley Online Library,,https://onlinelibrary.wiley.com/page/journal/15206688/homepage/forauthors.html,
JOURNAL OF ECONOMIC HISTORY,Own- Archiving and Replication Requirements,No,,Yes,Yes,Open-ICPSR,,Cambridge,"The Journal of Economic History requires authors to deposit data and materials with the openICPSR repository (www.openicpsr.org) that allow other researchers to replicate analyses in a published article without any additional information from the author. Authors are also required to include a citation pointing to the data in the reference section of the final version of the article sent to the JEH editors. The openICPSR repository automatically generates a citation when the data are “published.” Deposits should include all data, annotated program code, command files, and documentation that is needed to replicate the findings from a JEH article. Each variable in the data collection should have a set of exhaustive, mutually-exclusive codes. Variable labels and value labels should clearly describe the information or question recorded in that variable. Missing data codes should be defined. Identifying information should be removed from the data to protect confidentiality. Program code and command files should be annotated to facilitate replication and ensure clear correspondence between code and figures, tables, and analyses in the JEH article. For a discussion of best practice in preparing data for sharing, please refer to ICPSR's Guide to Social Science Data Preparation and Archiving, 5th Edition.","https://www.cambridge.org/core/journals/journal-of-economic-history/information/author-instructions/preparing-your-materials
https://www.cambridge.org/core/services/aop-file-manager/file/58e3fb393f6b31b6027ea7eb/Depositing-data-in-openICPSR-for-JEH-March2017.pdf",
JOURNAL OF ENVIRONMENTAL ECONOMICS AND MANAGEMENT,Own-,No,Encouraged,Yes,Yes,"Mendeley, Elsevier’s Data Journal or equivalent",,Elsevier,"The Journal of Environmental Economics and Management (JEEM) now requires that authors of published empirical papers to make their data and analysis publicly available and sufficiently documented for replication purposes. With few exceptions, as noted below, authors of papers accepted for publication will be required to post the following on Elsevier's Mendeley website, ELSEVIER's DATA JOURNAL or equivalent data repository:
1. Code and programs that can be used for replication, including any computer programs used to collect experimental or observational data,
2. Dataset(s) used to run the final models, and
3. ""Readme"" files detailing how data and programs are combined to generate the final analysis. Such files should include a description of how intermediate data files were used to create the final dataset.",https://www.elsevier.com/journals/journal-of-environmental-economics-and-management/0095-0696/guide-for-authors,
ECONOMETRIC REVIEWS,Taylor & Francis Basic Data Sharing Policy,No,Encouraged,Encouraged,Encouraged,Any standard public repository,,Taylor & Francis,"This journal applies the Taylor & Francis Basic Data Sharing Policy. Authors are encouraged to share or make open the data supporting the results or analyses presented in their paper where this does not violate the protection of human subjects or other valid privacy or security concerns.

Authors are encouraged to deposit the dataset(s) in a recognized data repository that can mint a persistent digital identifier, preferably a digital object identifier (DOI) and recognizes a long-term preservation plan. If you are uncertain about where to deposit your data, please see this information regarding repositories.

Authors are further encouraged to cite any data sets referenced in the article and provide a Data Availability Statement.",https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=lecr20,
WORLD BANK ECONOMIC REVIEW,Own-,No,Yes,Yes,Yes,OUP-suggested public repositories,,Oxford University Press,"The World Bank Economic Review requires all authors, where ethically possible, to publicly release all data and software code underlying any published paper as a condition of publication. If data are proprietary or the requirement otherwise cannot be met, this should be noted in a cover letter to the editor on submission. We require that data be presented in the main manuscript or additional supporting files, or deposited in a public repository whenever possible.",https://academic.oup.com/wber/pages/Author_Guidelines,
INTERNATIONAL JOURNAL OF INDUSTRIAL ORGANIZATION,Elsevier,No,Encouraged,Yes,,Elsevier supported repositories,,Elsevier,"This journal requires and enables you to share data that supports your research publication where appropriate, and enables you to interlink the data with your published articles. Research data refers to the results of observations or experimentation that validate research findings, which may also include software, code, models, algorithms, protocols, methods and other useful materials related to the project.",https://www.elsevier.com/journals/international-journal-of-industrial-organization/0167-7187/guide-for-authors,
JOURNAL OF ECONOMIC BEHAVIOR & ORGANIZATION,Elsevier,No,Yes,Yes,,Elsevier supported repositories,,Elsevier,"This journal requires and enables you to share data that supports your research publication where appropriate, and enables you to interlink the data with your published articles. Research data refers to the results of observations or experimentation that validate research findings, which may also include software, code, models, algorithms, protocols, methods and other useful materials related to the project.",https://www.elsevier.com/journals/journal-of-economic-behavior-and-organization/0167-2681/guide-for-authors,"Compare with above, very similar template but statement is required here, only encouraged above"
